AO,MQ-4,Nano,Diff,|Diff|
0.083761,279,0,279,279
0.083272,274,0,274,274
0.222955,9491,334,9157,9157
0.185836,4614,5559,-945,945
0.196337,5710,7500,-1790,1790
0.205372,6817,8746,-1929,1929
0.209524,7383,9506,-2123,2123
0.207326,7079,10253,-3174,3174
0.203419,6564,10300,-3736,3736
0.201465,6318,10007,-3689,3689
0.200244,6169,9513,-3344,3344
0.198291,5936,9321,-3385,3385
0.196337,5710,8977,-3267,3267
0.194628,5518,8805,-3287,3287
0.192674,5306,8472,-3166,3166
0.190965,5126,8323,-3197,3197
0.189255,4950,7973,-3023,3023
0.186569,4685,7787,-3102,3102
0.184860,4522,7438,-2916,2916
0.179487,4040,7128,-3088,3088
0.178022,3916,7011,-3095,3095
0.180708,4146,0,4146,4146
0.178022,3916,0,3916,3916
0.178755,3978,0,3978,3978
0.176313,3776,0,3776,3776
0.174603,3639,0,3639,3639
0.173138,3525,0,3525,3525
0.172161,3451,0,3451,3451
0.171673,3414,0,3414,3414
0.170208,3306,3350,-44,44
0.169231,3236,2690,546,546
0.168254,3167,2454,713,713
0.167766,3132,2105,1027,1027
0.165812,2999,1975,1024,1024
0.164835,2933,1752,1181,1181
0.164835,2933,1647,1286,1286
0.162882,2806,1458,1348,1348
0.161905,2745,1287,1458,1458
0.160195,2639,1195,1444,1444
0.158974,2566,1031,1535,1535
0.156532,2424,949,1475,1475
0.157265,2466,794,1672,1672
0.157509,2480,697,1783,1783
0.156532,2424,563,1861,1861
0.155067,2342,508,1834,1834
0.154579,2315,417,1898,1898
0.152625,2210,0,2210,2210
0.150427,2096,-100,2196,2196
0.145543,1860,-100,1960,1960
0.144078,1793,-100,1893,1893
0.144322,1804,-100,1904,1904
0.136996,1497,-100,1597,1597
0.131380,1291,-100,1391,1391
0.127228,1153,-100,1253,1253
0.123321,1034,-100,1134,1134
0.122100,998,-100,1098,1098
5550.0,-1,-1,0,0
0.119414,924,0,924,924
0.117949,885,0,885,885
0.118437,898,0,898,898
0.117705,879,0,879,879
0.117460,873,0,873,873
0.116484,848,0,848,848
0.115751,830,0,830,830
0.115018,812,0,812,812
0.114286,794,0,794,794
0.113553,777,0,777,777
0.113065,765,0,765,765
0.112821,760,0,760,760
0.112576,754,0,754,754
0.112332,748,0,748,748
0.111600,732,0,732,732
0.111600,732,0,732,732
0.111111,721,0,721,721
0.110623,710,0,710,710
0.110134,699,0,699,699
0.109158,678,0,678,678
0.108181,658,0,658,658
0.108181,658,0,658,658
0.107937,653,0,653,653
0.107204,638,0,638,638
0.107692,648,0,648,648
0.106716,628,0,628,628
0.106227,618,0,618,618
0.106227,618,0,618,618
0.106227,618,0,618,618
0.106227,618,0,618,618
0.105250,599,0,599,599
0.105250,599,0,599,599
0.104274,580,0,580,580
0.104274,580,0,580,580
0.103297,562,0,562,562
0.102564,549,0,549,549
0.101832,536,0,536,536
