AO,MQ-4,Nano,Diff,|Diff|
0.139683,126,0,126,126
0.138950,64,0,64,64
0.136508,-138,0,-138,138
0.138217,2,0,2,2
0.137973,-17,0,-17,17
0.137729,-38,0,-38,38
0.136752,-118,0,-118,118
0.236630,11956,0,11956,11956
0.259829,9668,0,9668,9668
0.256654,10463,10264,199,199
0.256654,10463,11538,-1075,1075
0.257387,10297,12782,-2485,2485
0.256899,10409,13664,-3255,3255
0.257143,10354,14020,-3666,3666
0.256166,10568,14515,-3947,3947
0.255922,10619,14651,-4032,4032
0.254701,10857,14763,-3906,3906
0.252259,11258,14751,-3493,3493
0.252259,11258,14645,-3387,3387
0.250305,11510,14544,-3034,3034
0.248840,11663,14318,-2655,2655
0.247375,11787,14072,-2285,2285
0.245910,11884,13954,-2070,2070
0.244933,11933,13669,-1736,1736
0.243223,11994,13533,-1539,1539
0.242247,12015,13229,-1214,1214
0.241270,12026,13065,-1039,1039
0.239072,12016,12699,-683,683
0.237118,11972,12527,-555,555
0.236142,11938,12182,-244,244
0.234432,11861,11867,-6,6
0.233211,11794,11711,83,83
0.231746,11699,11421,278,278
0.230769,11629,11286,343,343
0.230281,11592,10980,612,612
0.228327,11429,10822,607,607
0.227839,11385,10540,845,845
0.225641,11174,10408,766,766
0.223932,10995,10147,848,848
0.222466,10831,9884,947,947
0.221490,10718,9754,964,964
0.220513,10602,9475,1127,1127
0.219048,10421,9349,1072,1072
0.218071,10297,9099,1198,1198
0.216850,10139,8988,1151,1151
0.216117,10042,8770,1272,1272
0.215140,9911,8660,1251,1251
0.214164,9778,8451,1327,1327
0.213187,9643,8267,1376,1376
0.211722,9437,8185,1252,1252
0.210012,9192,7986,1206,1206
0.209035,9050,7901,1149,1149
0.208791,9015,7723,1292,1292
0.207814,8871,7635,1236,1236
0.208303,8943,7461,1482,1482
0.205617,8546,7369,1177,1177
0.204884,8437,7204,1233,1233
0.204151,8327,7045,1282,1282
0.203175,8180,6976,1204,1204
0.202930,8143,6816,1327,1327
0.200977,7848,6742,1106,1106
0.201954,7996,6602,1394,1394
0.200000,7700,6522,1178,1178
0.199512,7625,6369,1256,1256
0.198535,7477,6293,1184,1184
0.197802,7366,6144,1222,1222
0.196581,7180,5974,1206,1206
0.195116,6958,5878,1080,1080
0.194628,6884,5704,1180,1180
0.194383,6847,5619,1228,1228
0.193407,6699,5460,1239,1239
0.191453,6405,5380,1025,1025
0.191941,6479,5238,1241,1241
0.190965,6332,5154,1178,1178
0.189744,6149,5002,1147,1147
0.188767,6004,4859,1145,1145
0.187790,5859,4789,1070,1070
