AO,MQ-4,Nano,Diff,|Diff|
0.001292,0,0,0,0
0.00167,0,0,0,0
0.00137,0,0,0,0
0.001324,0,0,0,0
0.001602,0,0,0,0
0.001453,0,0,0,0
0.00127,0,0,0,0
0.001614,0,0,0,0
0.001548,0,0,0,0
0.001267,0,0,0,0
0.00148,0,0,0,0
0.001656,0,0,0,0
0.001368,0,0,0,0
0.001304,0,0,0,0
0.001612,0,0,0,0
0.001548,0,0,0,0
0.00128,0,0,0,0
0.001446,0,0,0,0
0.00168,0,0,0,0
0.001331,0,0,0,0
0.00137,0,0,0,0
0.00167,0,0,0,0
0.001389,0,0,0,0
0.001314,0,0,0,0
0.001631,0,0,0,0
0.00156,0,0,0,0
0.001302,0,0,0,0
0.00148,0,0,0,0
0.001651,0,0,0,0
0.001358,0,0,0,0
0.001429,0,0,0,0
0.001695,0,0,0,0
0.001311,0,0,0,0
0.001077,0,0,0,0
0.001668,0,0,0,0
0.001497,0,0,0,0
0.001326,0,0,0,0
0.001685,0,0,0,0
0.044706,0,0,0,0
0.097118,0,0,0,0
0.163194,4,0,4,4
0.22538,17,0,17,17
0.277021,43,0,43,43
0.314676,82,0,82,82
0.33989,125,0,125,125
0.356079,164,0,164,164
0.365836,192,0,192,192
0.370864,209,0,209,209
0.373722,219,0,219,219
0.374742,223,0,223,223
0.373976,220,0,220,220
0.373851,219,0,219,219
0.373038,216,0,216,216
0.372508,214,0,214,214
0.372218,213,0,213,213
0.371739,212,0,212,212
0.370803,208,0,208,208
0.36998,206,0,206,206
0.3697,205,0,205,205
0.36882,202,0,202,202
0.368286,200,0,200,200
0.367109,196,0,196,196
0.367131,196,0,196,196
0.3664,194,0,194,194
0.001038,0,0,0,0
0.001201,0,0,0,0
0.00147,0,0,0,0
0.001223,0,0,0,0
0.001409,0,0,0,0
0.001543,0,0,0,0
0.001253,0,0,0,0
0.001634,0,0,0,0
0.001404,0,0,0,0
0.001338,0,0,0,0
0.001624,0,0,0,0
0.001343,0,0,0,0
0.001316,0,0,0,0
0.001551,0,0,0,0
0.001333,0,0,0,0
0.001292,0,0,0,0
0.001604,0,0,0,0
0.001536,0,0,0,0
0.001267,0,0,0,0
0.001495,0,0,0,0
0.001607,0,0,0,0
0.001333,0,0,0,0
0.001321,0,0,0,0
0.001546,0,0,0,0
0.001621,0,0,0,0
0.001336,0,0,0,0
0.001321,0,0,0,0
0.001656,0,0,0,0
0.001609,0,0,0,0
0.001265,0,0,0,0
0.001377,0,0,0,0
0.001639,0,0,0,0
0.001446,0,0,0,0
0.001299,0,0,0,0
0.001678,0,0,0,0
0.001421,0,0,0,0
0.001326,0,0,0,0
0.001653,0,0,0,0
0.00146,0,0,0,0
0.001302,0,0,0,0
0.001556,0,0,0,0
0.001602,0,0,0,0
0.001255,0,0,0,0
0.063104,0,0,0,0
0.12316,1,0,1,1
0.190569,8,0,8,8
0.251321,27,0,27,27
0.299201,63,0,63,63
0.333172,112,0,112,112
0.354991,161,0,161,161
0.36792,199,0,199,199
0.374664,222,0,222,222
0.377243,232,0,232,232
0.378241,236,0,236,236
0.377846,234,0,234,234
0.377145,232,0,232,232
0.376999,231,0,231,231
0.375143,224,0,224,224
0.374357,221,0,221,221
0.37284,216,0,216,216
0.371786,212,0,212,212
0.370124,206,0,206,206
0.368894,202,0,202,202
0.367749,198,0,198,198
0.366718,195,0,195,195
0.36569,192,0,192,192
0.364552,188,0,188,188
0.364198,187,0,187,187
0.362561,182,0,182,182
0.361707,179,0,179,179
0.360937,177,0,177,177
0.360056,175,0,175,175
0.359153,172,0,172,172
0.358613,171,0,171,171
0.358042,169,0,169,169
0.357053,166,0,166,166
0.356904,166,0,166,166
0.356005,163,0,163,163
0.355646,162,0,162,162
0.334628,115,0,115,115
0.001338,0,0,0,0
0.001148,0,0,0,0
0.001394,0,0,0,0
0.001529,0,0,0,0
0.001221,0,0,0,0
0.00135,0,0,0,0
0.001636,0,0,0,0
0.00126,0,0,0,0
0.001304,0,0,0,0
0.001558,0,0,0,0
0.001629,0,0,0,0
0.001292,0,0,0,0
0.00135,0,0,0,0
0.001641,0,0,0,0
0.001526,0,0,0,0
0.001314,0,0,0,0
0.001385,0,0,0,0
0.001631,0,0,0,0
0.001399,0,0,0,0
0.001294,0,0,0,0
0.001675,0,0,0,0
0.001448,0,0,0,0
0.001321,0,0,0,0
0.001643,0,0,0,0
0.001512,0,0,0,0
0.001297,0,0,0,0
0.001643,0,0,0,0
0.001402,0,0,0,0
0.001348,0,0,0,0
0.001692,0,0,0,0
0.00137,0,0,0,0
0.001385,0,0,0,0
0.00167,0,0,0,0
0.001411,0,0,0,0
0.001265,0,0,0,0
0.001617,0,0,0,0
0.001609,0,0,0,0
0.001292,0,0,0,0
0.001407,0,0,0,0
0.001692,0,0,0,0
0.001426,0,0,0,0
0.001287,0,0,0,0
0.001526,0,0,0,0
0.001695,0,0,0,0
0.001353,0,0,0,0
0.038374,0,0,0,0
0.088872,0,0,0,0
0.151392,3,0,3,3
0.214953,13,0,13,13
0.269763,38,0,38,38
0.309387,75,0,75,75
0.336977,119,0,119,119
0.353748,157,0,157,157
0.362412,182,0,182,182
0.365744,192,0,192,192
0.367055,196,0,196,196
0.366999,196,0,196,196
0.365319,190,0,190,190
0.364591,188,0,188,188
0.362979,183,0,183,183
0.361277,178,0,178,178
0.359722,174,0,174,174
0.358965,172,0,172,172
0.357934,169,0,169,169
0.346737,140,0,140,140
0.335919,117,0,117,117
0.334669,115,0,115,115
0.335209,116,0,116,116
0.335243,116,0,116,116
0.33601,117,0,117,117
0.336737,119,0,119,119
0.331008,108,0,108,108
0.340042,125,0,125,125
0.345028,136,0,136,136
0.00138,0,0,0,0
0.001121,0,0,0,0
0.001289,0,0,0,0
0.001575,0,0,0,0
0.001289,0,0,0,0
0.001431,0,0,0,0
0.001585,0,0,0,0
0.001272,0,0,0,0
0.001648,0,0,0,0
0.001531,0,0,0,0
0.001211,0,0,0,0
0.001607,0,0,0,0
0.00146,0,0,0,0
0.00125,0,0,0,0
0.00159,0,0,0,0
0.001507,0,0,0,0
0.00126,0,0,0,0
0.001573,0,0,0,0
0.001587,0,0,0,0
0.001333,0,0,0,0
0.001529,0,0,0,0
0.001556,0,0,0,0
0.001284,0,0,0,0
0.00169,0,0,0,0
0.001346,0,0,0,0
0.001387,0,0,0,0
0.001648,0,0,0,0
0.001294,0,0,0,0
0.001516,0,0,0,0
0.001641,0,0,0,0
0.001453,0,0,0,0
0.001604,0,0,0,0
0.001568,0,0,0,0
0.001277,0,0,0,0
0.00135,0,0,0,0
0.001673,0,0,0,0
0.084527,0,0,0,0
0.152942,3,0,3,3
0.222642,16,0,16,16
0.279236,45,0,45,45
0.320327,90,0,90,90
0.348225,144,0,144,144
0.364488,188,0,188,188
0.37223,213,0,213,213
0.376342,228,0,228,228
0.376749,230,0,230,230
0.375946,227,0,227,227
0.374713,222,0,222,222
0.373348,217,0,217,217
0.398335,329,0,329,329
0.484181,1476,0,1476,1476
0.508582,2364,1694,670,670
0.520964,3040,2015,1025,1025
0.527138,3458,2503,955,955
0.529392,3627,2640,987,987
0.531245,3773,2795,978,978
0.530974,3751,2826,925,925
0.53084,3741,2824,917,917
0.530364,3703,2796,907,907
0.529612,3644,2777,867,867
0.529126,3607,2700,907,907
0.528459,3556,2682,874,874
0.528274,3542,2626,916,916
0.526843,3437,2596,841,841
0.526901,3441,2547,894,894
0.525773,3360,2515,845,845
0.524965,3304,2474,830,830
0.524059,3242,2420,822,822
0.523273,3189,2390,799,799
0.522231,3121,2335,786,786
0.521514,3075,2318,757,757
0.520974,3040,2267,773,773
0.519526,2951,2239,712,712
0.518991,2919,2192,727,727
0.517724,2844,2166,678,678
0.517379,2824,2130,694,694
0.516102,2751,2104,647,647
0.515289,2706,2065,641,641
0.514481,2662,2025,637,637
0.513424,2606,2009,597,597
0.512662,2566,1979,587,587
0.511578,2511,1956,555,555
0.510957,2479,1920,559,559
0.509558,2411,1906,505,505
0.50929,2398,1872,526,526
0.507793,2328,1851,477,477
0.506808,2283,1802,481,481
0.50598,2245,1764,481,481
0.505101,2207,1745,462,462
0.504251,2170,1715,455,455
0.503179,2125,1706,419,419
0.50253,2098,1659,439,439
0.501177,2043,1643,400,400
0.500491,2016,1624,392,392
0.498818,1951,1611,340,340
0.497737,1911,1575,336,336
AO,MQ-4,Nano,Diff,|Diff|
0.095683,0,0,0,0
0.176711,6,0,6,6
0.256659,30,75,-45,45
0.333292,112,0,112,112
0.382662,254,0,254,254
0.404972,368,0,368,368
0.420479,477,0,477,477
0.430396,565,0,565,565
AO,MQ-4,Nano,Diff,|Diff|
0.381734,250,-100,350,350
0.403505,359,-100,459,459
0.398564,330,-100,430,430
AO,MQ-4,Nano,Diff,|Diff|
0.106024,0,0,0,0
0.169104,5,0,5,5
0.231795,19,0,19,19
0.286196,51,0,51,51
0.326432,100,0,100,100
0.354222,159,0,159,159
0.37221,213,0,213,213
0.380427,244,0,244,244
0.38271,254,0,254,254
0.383421,257,0,257,257
0.382342,252,0,252,252
0.380249,244,0,244,244
0.3781,235,0,235,235
0.375482,225,0,225,225
0.372489,214,0,214,214
0.370808,209,0,209,209
0.000943,0,0,0,0
0.001255,0,0,0,0
0.00168,0,0,0,0
0.001282,0,0,0,0
0.001153,0,0,0,0
0.001653,0,0,0,0
0.001607,0,0,0,0
0.001121,0,0,0,0
0.00148,0,0,0,0
0.001702,0,0,0,0
0.001197,0,0,0,0
0.001331,0,0,0,0
0.001722,0,0,0,0
0.001473,0,0,0,0
0.001099,0,0,0,0
0.001402,0,0,0,0
0.001832,0,0,0,0
0.001348,0,0,0,0
0.001187,0,0,0,0
0.001748,0,0,0,0
0.001385,0,0,0,0
0.00128,0,0,0,0
0.001805,0,0,0,0
0.001453,0,0,0,0
0.001194,0,0,0,0
0.001726,0,0,0,0
0.001438,0,0,0,0
0.001223,0,0,0,0
0.001807,0,0,0,0
0.00136,0,0,0,0
0.001204,0,0,0,0
0.001866,0,0,0,0
0.001431,0,0,0,0
0.001148,0,0,0,0
0.001639,0,0,0,0
0.001719,0,0,0,0
0.001272,0,0,0,0
0.001238,0,0,0,0
0.001807,0,0,0,0
0.05148,0,0,0,0
0.110261,1,0,1,1
0.182354,7,0,7,7
0.247316,25,0,25,25
0.300432,65,0,65,65
0.337597,120,0,120,120
0.35926,172,0,172,172
0.371998,213,0,213,213
0.376815,230,0,230,230
0.378371,236,0,236,236
0.377326,232,0,232,232
0.374882,223,0,223,223
