AO,MQ-4,Nano,Diff,|Diff|
0.032278,18,0,18,18
0.063668,158,0,158,158
0.105118,843,0,843,843
0.149763,2997,0,2997,2997
0.188163,7226,0,7226,7226
0.219428,13609,0,13609,13609
0.24334,21349,0,21349,21349
0.259936,28810,0,28810,28810
0.271771,35495,0,35495,35495
0.278305,39767,0,39767,39767
0.283292,43342,0,43342,43342
0.286899,46111,0,46111,46111
0.289577,48272,0,48272,48272
0.291738,50085,0,50085,50085
0.294401,52407,0,52407,52407
0.296137,53975,0,53975,53975
0.298393,56078,0,56078,56078
0.301534,59135,0,59135,59135
0.303341,60964,0,60964,60964
0.305568,63293,0,63293,63293
0.307314,65177,0,65177,65177
0.305524,63246,0,63246,63246
0.304408,62070,0,62070,62070
0.30884,66868,0,66868,66868
0.001619,0,0,0,0
0.070144,217,0,217,217
0.131072,1838,0,1838,1838
0.197385,8764,0,8764,8764
0.255722,26721,0,26721,26721
0.301885,59486,0,59486,59486
0.334147,101864,0,101864,101864
0.354754,143046,0,143046,143046
0.366154,172547,0,172547,172547
0.371676,188964,0,188964,188964
0.37441,197668,0,197668,197668
0.374122,196733,0,196733,196733
0.373978,196266,0,196266,196266
0.372528,191634,0,191634,191634
0.371292,187773,0,187773,187773
0.392112,264843,0,264843,264843
0.454417,765981,0,765981,765981
0.494433,1598532,2447,1596085,1596085
0.498157,1717523,2388,1715135,1715135
0.498706,1735898,2330,1733568,1733568
0.500156,1785509,2226,1783283,1783283
0.500227,1787980,2177,1785803,1785803
0.49918,1751942,2090,1749852,1749852
0.49845,1727302,1991,1725311,1725311
0.497759,1704340,1971,1702369,1702369
0.497602,1699171,1888,1697283,1697283
0.496284,1656470,1848,1654622,1654622
0.495961,1646191,1788,1644403,1644403
0.494523,1601296,1759,1599537,1599537
0.49402,1585920,1702,1584218,1584218
0.49112,1500448,1668,1498780,1498780
0.490093,1471433,1613,1469820,1469820
0.489799,1463243,1584,1461659,1461659
0.488889,1438217,1525,1436692,1436692
0.487538,1401944,1478,1400466,1400466
0.486637,1378324,1454,1376870,1376870
0.485948,1360562,1409,1359153,1359153
0.484584,1326151,1394,1324757,1324757
0.484357,1320519,1347,1319172,1319172
0.482843,1283634,1331,1282303,1282303
0.482728,1280880,1291,1279589,1279589
0.481053,1241503,1271,1240232,1240232
0.479736,1211489,1231,1210258,1210258
0.479168,1198795,1202,1197593,1197593
0.477375,1159685,1185,1158500,1158500
0.476334,1137631,1154,1136477,1136477
0.473563,1081162,1127,1080035,1080035
0.472808,1066320,1089,1065231,1065231
0.471416,1039544,1071,1038473,1038473
0.469975,1012607,1038,1011569,1011569
0.466372,948566,1019,947547,947547
0.463893,907100,973,906127,906127
0.462215,880165,930,879235,879235
0.461681,871778,919,870859,870859
0.460017,846202,885,845317,845317
0.459287,835242,861,834381,834381
0.458369,821680,832,820848,820848
0.45704,802470,809,801661,801661
0.456617,796460,777,795683,795683
0.453704,756378,764,755614,755614
0.45276,743865,734,743131,743131
0.450709,717448,717,716731,716731
0.450052,709203,708,708495,708495
0.449185,698480,673,697807,697807
0.447871,682562,663,681899,681899
0.445851,658853,644,658209,658209
0.442046,616578,630,615948,615948
0.440874,604154,589,603565,603565
0.44061,601393,576,600817,600817
0.441455,610279,532,609747,609747
0.440412,599331,0,599331,599331
0.439878,593807,477,593330,593330
