AO,MQ-4,Nano,Diff,|Diff|
0.056654,105,0,105,105
0.057387,110,0,110,110
0.056654,105,0,105,105
0.056899,107,0,107,107
0.057143,108,0,108,108
0.055922,101,0,101,101
0.056654,105,0,105,105
0.059585,124,0,124,124
0.056166,102,0,102,102
0.057387,110,0,110,110
0.056899,107,0,107,107
0.056899,107,0,107,107
0.056166,102,0,102,102
0.057387,110,0,110,110
0.057631,111,0,111,111
0.057387,110,0,110,110
0.08254,361,0,361,361
0.086447,421,1761,-1340,1340
0.089866,479,5172,-4693,4693
0.092796,534,7082,-6548,6548
0.095482,589,7836,-7247,7247
0.097924,642,8759,-8117,8117
0.09939,675,8973,-8298,8298
0.101099,716,9072,-8356,8356
0.102808,758,9031,-8273,8273
0.104029,790,8878,-8088,8088
0.104029,790,8782,-7992,7992
0.104762,809,8565,-7756,7756
0.105983,842,8374,-7532,7532
0.105495,829,8269,-7440,7440
0.106471,855,8071,-7216,7216
0.107692,890,7983,-7093,7093
0.108181,904,7811,-6907,6907
0.109158,933,7721,-6788,6788
0.109646,947,7583,-6636,6636
0.109402,940,7503,-6563,6563
0.110379,970,7344,-6374,6374
0.109646,947,7274,-6327,6327
0.109646,947,7123,-6176,6176
0.110379,970,6999,-6029,6029
0.110379,970,6925,-5955,5955
0.110134,962,6782,-5820,5820
0.110623,977,6715,-5738,5738
