AO,MQ-4,Nano,Diff,|Diff|
0.483871,1308551,0,1308551,1308551
0.478347,1180708,0,1180708,1180708
0.471641,1043821,0,1043821,1043821
0.464398,915383,0,915383,915383
0.461852,874454,0,874454,874454
0.461585,870280,0,870280,870280
0.461175,863912,0,863912,863912
0.460735,857136,0,857136,857136
0.459316,835675,0,835675,835675
0.470383,1020155,0,1020155,1020155
0.487929,1412335,7730,1404605,1404605
0.489065,1443019,7707,1435312,1435312
0.490388,1479702,7497,1472205,1472205
0.490554,1484379,7346,1477033,1477033
0.491301,1505629,6985,1498644,1498644
0.490784,1490885,6817,1484068,1484068
0.491179,1502135,6403,1495732,1495732
0.491414,1508873,6243,1502630,1502630
0.491714,1517524,5949,1511575,1511575
0.492608,1543638,5825,1537813,1537813
0.492027,1526610,5609,1521001,1521001
0.491497,1511261,5388,1505873,1505873
0.490161,1473335,5276,1468059,1468059
0.489538,1456016,5006,1451010,1451010
0.488771,1435007,4868,1430139,1430139
0.488449,1426289,4622,1421667,1421667
0.487523,1401547,4520,1397027,1397027
0.486674,1379285,4306,1374979,1374979
0.485721,1354767,4193,1350574,1350574
0.485043,1337620,3983,1333637,1333637
0.484806,1331684,3796,1327888,1327888
0.484212,1316935,3718,1313217,1313217
0.48347,1298768,3583,1295185,1295185
0.483175,1291623,3525,1288098,1288098
0.482601,1277846,3403,1274443,1274443
0.481248,1246017,3347,1242670,1242670
0.481019,1240717,3162,1237555,1237555
0.480071,1219046,3099,1215947,1215947
0.47927,1201064,2978,1198086,1198086
0.478235,1178264,2920,1175344,1175344
0.478144,1176282,2760,1173522,1173522
0.47758,1164084,2657,1161427,1161427
0.476833,1148144,2613,1145531,1145531
0.476254,1135956,2507,1133449,1133449
0.475243,1115016,2451,1112565,1112565
0.47462,1102327,2333,1099994,1099994
0.4741,1091858,2270,1089588,1089588
0.474539,1100689,2179,1098510,1098510
0.474242,1094706,2147,1092559,1092559
0.473951,1088878,2099,1086779,1086779
0.473038,1070818,2055,1068763,1068763
0.472442,1059207,2026,1057181,1057181
0.472205,1054629,1948,1052681,1052681
0.471511,1041348,1916,1039432,1039432
0.471189,1035249,1820,1033429,1033429
0.470608,1024344,1783,1022561,1022561
0.470676,1025613,1716,1023897,1023897
0.469773,1008893,1696,1007197,1007197
0.469563,1005048,1633,1003415,1003415
0.468921,993393,1573,991820,991820
0.468491,985670,1538,984132,984132
0.467942,975906,1478,974428,974428
0.467434,966966,1443,965523,965523
0.467221,963244,1385,961859,961859
0.466652,953380,1356,952024,952024
0.466508,950901,1318,949583,949583
0.465732,937665,1302,936363,936363
0.465405,932148,1253,930895,930895
0.464418,915713,1237,914476,914476
0.46433,914263,1178,913085,913085
0.464086,910256,1116,909140,909140
0.463683,903680,1094,902586,902586
0.463553,901570,1043,900527,900527
0.462962,892046,1033,891013,891013
0.463063,893666,1024,892642,892642
0.462584,886012,1009,885003,885003
0.462564,885694,980,884714,884714
0.461783,873374,953,872421,872421
0.461453,868224,894,867330,867330
0.461153,863572,836,862736,862736
0.461114,862969,807,862162,862162
0.460777,857780,775,857005,857005
0.460545,854227,0,854227,854227
0.460486,853327,708,852619,852619
0.460581,854778,695,854083,854083
0.46097,860748,680,860068,860068
0.460887,859470,680,858790,858790
0.460931,860147,660,859487,859487
0.46073,857059,657,856402,856402
0.460743,857258,633,856625,856625
0.461016,861457,615,860842,860842
0.46087,859209,0,859209,859209
0.46076,857519,0,857519,857519
0.460544,854212,0,854212,854212
0.460437,852579,0,852579,852579
0.460017,846202,648,845554,845554
0.45999,845794,514,845280,845280
0.45955,839173,474,838699,838699
0.459043,831614,417,831197,831197
0.458906,829584,388,829196,829196
0.45872,826837,366,826471,826471
0.458371,821709,339,821370,821370
0.458185,818991,334,818657,818657
0.458232,819677,0,819677,819677
0.457922,815163,0,815163,815163
0.457834,813887,0,813887,813887
