AO,MQ-4,Nano,Diff,|Diff|
0.373185,0,0,0,0
0.429709,0,0,0,0
0.47737,1,0,1,1
0.500642,2,0,2,2
0.524438,3,0,3,3
0.535082,4,0,4,4
0.548962,6,0,6,6
0.56021,8,0,8,8
0.564339,9,0,9,9
0.564481,9,0,9,9
0.565682,9,0,9,9
0.619515,44,0,44,44
0.626154,56,0,56,56
0.627226,58,0,58,58
0.62598,55,0,55,55
0.622596,49,0,49,49
0.619109,43,0,43,43
0.615304,38,0,38,38
0.610217,32,0,32,32
0.607666,29,0,29,29
0.604447,27,0,27,27
0.601932,25,462,-437,437
0.598952,22,0,22,22
0.59672,21,0,21,21
0.594088,19,0,19,19
0.591868,18,0,18,18
0.590028,17,0,17,17
0.587795,16,0,16,16
0.586545,16,0,16,16
0.584312,15,0,15,15
0.582671,14,0,14,14
0.580542,13,0,13,13
0.57853,12,0,12,12
0.576345,12,0,12,12
0.574963,11,0,11,11
0.573136,11,0,11,11
0.571334,10,0,10,10
0.570633,10,0,10,10
0.569013,10,0,10,10
0.567924,9,0,9,9
0.566446,9,0,9,9
0.565677,9,0,9,9
0.563604,8,0,8,8
0.562596,8,0,8,8
0.561265,8,0,8,8
0.559793,8,0,8,8
0.558912,7,0,7,7
0.557439,7,0,7,7
0.556499,7,0,7,7
0.555124,7,0,7,7
0.554743,7,0,7,7
0.552766,6,0,6,6
0.551694,6,0,6,6
0.550974,6,0,6,6
0.549536,6,0,6,6
0.548285,6,0,6,6
0.495292,2,0,2,2
0.000916,0,0,0,0
0.000891,0,0,0,0
0.001421,0,0,0,0
0.001158,0,0,0,0
0.000967,0,0,0,0
0.001492,0,0,0,0
0.00125,0,0,0,0
0.000999,0,0,0,0
0.001575,0,0,0,0
0.001267,0,0,0,0
0.001087,0,0,0,0
0.001587,0,0,0,0
0.001267,0,0,0,0
0.001121,0,0,0,0
0.001578,0,0,0,0
0.176877,0,0,0,0
0.269917,0,0,0,0
0.350171,0,0,0,0
0.410869,0,0,0,0
0.452352,0,0,0,0
0.478569,1,0,1,1
0.499019,2,0,2,2
0.512088,2,0,2,2
0.518175,3,0,3,3
0.520701,3,0,3,3
0.522185,3,0,3,3
0.526008,3,0,3,3
0.517265,3,0,3,3
0.519697,3,0,3,3
0.519477,3,0,3,3
0.515358,3,0,3,3
0.510164,2,0,2,2
0.504217,2,0,2,2
0.495781,2,0,2,2
0.490071,1,0,1,1
0.485414,1,0,1,1
0.487289,1,0,1,1
0.485543,1,0,1,1
0.001201,0,0,0,0
0.001226,0,0,0,0
0.001057,0,0,0,0
0.001033,0,0,0,0
0.001158,0,0,0,0
0.001289,0,0,0,0
0.001394,0,0,0,0
0.245289,0,0,0,0
0.391538,0,0,0,0
0.464164,1,0,1,1
0.478266,1,0,1,1
0.483167,1,0,1,1
0.481932,1,0,1,1
0.479993,1,0,1,1
0.478125,1,0,1,1
0.476378,1,0,1,1
0.474852,1,0,1,1
0.473477,1,0,1,1
0.4722,1,0,1,1
0.471318,1,0,1,1
0.470503,1,0,1,1
0.469604,1,0,1,1
0.46882,1,0,1,1
0.468073,1,0,1,1
0.467402,1,0,1,1
0.466921,1,0,1,1
0.000879,0,0,0,0
0.001048,0,0,0,0
0.001028,0,0,0,0
0.001179,0,0,0,0
0.001541,0,0,0,0
0.001651,0,0,0,0
0.001641,0,0,0,0
0.001311,0,0,0,0
0.001189,0,0,0,0
0.001219,0,0,0,0
0.001255,0,0,0,0
0.001189,0,0,0,0
0.001136,0,0,0,0
0.001123,0,0,0,0
0.00107,0,0,0,0
0.001082,0,0,0,0
0.001096,0,0,0,0
0.111297,0,0,0,0
0.321834,0,0,0,0
0.433231,0,0,0,0
0.472503,1,0,1,1
0.481705,1,0,1,1
0.482096,1,0,1,1
0.479033,1,0,1,1
0.47587,1,0,1,1
0.473602,1,0,1,1
0.471797,1,0,1,1
0.001136,0,0,0,0
0.00117,0,0,0,0
0.001197,0,0,0,0
0.001209,0,0,0,0
0.001358,0,0,0,0
0.001543,0,0,0,0
0.0017,0,0,0,0
0.001585,0,0,0,0
0.001446,0,0,0,0
0.001453,0,0,0,0
0.001646,0,0,0,0
0.001663,0,0,0,0
0.001648,0,0,0,0
0.001419,0,0,0,0
0.001077,0,0,0,0
0.001079,0,0,0,0
0.001197,0,0,0,0
0.001341,0,0,0,0
0.001617,0,0,0,0
0.001695,0,0,0,0
0.209732,0,0,0,0
0.345187,0,0,0,0
0.404767,0,0,0,0
0.426569,0,0,0,0
0.433292,0,0,0,0
0.434818,0,0,0,0
0.434284,0,0,0,0
0.433795,0,0,0,0
