AO,MQ-4,Nano,Diff,|Diff|
0.085714,385,-100,485,485
0.086935,404,-100,504,504
0.085958,389,-100,489,489
0.085958,389,-100,489,489
0.086447,396,-100,496,496
0.08547,382,-100,482,482
0.085714,385,-100,485,485
0.086691,400,-100,500,500
0.085958,389,-100,489,489
0.085226,378,-100,478,478
0.040537,34,-100,134,134
0.027106,10,-100,110,110
0.022466,5,-100,105,105
0.021245,4,-100,104,104
0.021001,4,-100,104,104
0.06569,160,-100,260,260
0.09011,456,-100,556,556
0.092063,490,-100,590,590
0.090354,460,-100,560,560
