AO,MQ-4,Nano,Diff,|Diff|
0.043468,51,0,51,51
0.084249,438,0,438,438
0.050549,82,0,82,82
0.086935,487,0,487,487
0.016361,2,0,2,2
0.070085,238,0,238,238
0.024664,8,0,8,8
0.025397,9,0,9,9
0.074725,294,0,294,294
0.041026,42,0,42,42
0.023443,7,0,7,7
0.047375,67,0,67,67
0.043223,50,0,50,50
0.072527,266,0,266,266
0.011233,0,0,0,0
0.081563,393,0,393,393
0.085714,464,0,464,464
0.087179,492,0,492,492
0.029792,15,0,15,15
0.033944,23,0,23,23
0.078877,351,0,351,351
0.075946,310,0,310,310
0.073748,281,0,281,281
0.099145,762,8044,-7282,7282
0.104274,907,9383,-8476,8476
0.029304,15,11278,-11263,11263
0.055433,111,11837,-11726,11726
0.036142,28,12437,-12409,12409
0.100122,788,12641,-11853,11853
0.102808,864,12666,-11802,11802
0.040293,40,12591,-12551,12551
0.108181,1031,12534,-11503,11503
0.094994,658,12400,-11742,11742
0.109158,1064,12317,-11253,11253
0.074969,297,12159,-11862,11862
0.034676,25,12070,-12045,12045
0.096948,705,11914,-11209,11209
0.109646,1081,11821,-10740,10740
AO,MQ-4,Nano,Diff,|Diff|
0.046642,64,5874,-5810,5810
0.111355,1141,5744,-4603,4603
0.168987,5302,5676,-374,374
0.182906,7246,5556,1690,1690
0.182418,7169,5504,1665,1665
0.181441,7017,5395,1622,1622
0.179243,6685,5342,1343,1343
0.179976,6794,5252,1542,1542
AO,MQ-4,Nano,Diff,|Diff|
0.065446,190,4835,-4645,4645
0.044444,55,4772,-4717,4717
0.060317,146,4658,-4512,4512
0.116728,1347,4590,-3243,3243
0.048107,70,4505,-4435,4435
0.088156,510,4461,-3951,3951
0.036386,29,4383,-4354,4354
0.108913,1056,4297,-3241,3241
0.03663,30,4256,-4226,4226
0.053724,100,4174,-4074,4074
